"+forward"				"Pohyb vpřed"
"+back"				"Pohyb vzad"
"+left"				"Otočit vlevo"
"+right"				"Otočit vpravo"
"+moveleft"			"Úkrok vlevo"
"+moveright"			"Úkrok vpravo"
"+jump"				"Skok"
"+duck"				"Dřep"
"+moveup"				"Plavat vzhůru"
"+movedown"			"Plavat dolů"
"+strafe"				Přepínač úkroků"
"+attack"				"Primární útok"
"+wpn_secondaryatk"		"Přepnout útočný režim"
"+reload"				"Nabít zbraň"
"vdiscipline_last"		"Použít vampírskou schopnost"
"vdiscipline_endall"		"Ukončit aktivní schopnosti"
"+use"				"Použít"
"+speed"             		"Kráčet"
"slot2"				"Kontaktní zbraně"
"slot3" 				"Střelné zbraně"
"slot5"				"Brnění"
"slot6"				"Inventář"
"invprev"				"Výběr předchozí"
"invnext"				"Výběr následující"
"lastinv"				"Předchozí zbraň"
"dropitem"				Zahodit věc"
"showhotkeys"			"Menu kl. zkratek"
"+feed"				"Sání krve"
"+chareditor"			"Vlastnosti postavy"
"holster"				"Schovat zbraň"
"+questlog"			"Záznam úkolů"
"togglecamera"			"Přepnout kameru z/do třetího pohledu"
"+mlook"				"Rozhlížení myší"
"snapshot"				"Vyfotit obrazovku"
"save quick"			"Rychlé uložení"
"load quick"			"Rychlé nahrání"
"dlghist"				"Zobrazit záznam dialogů"
"dlgscrldn"			"Skrolovat záznam dialogů dolů"
"dlgscrlup"			"Skrolovat záznam dialogů nahoru"

